Rep,Cond,cyp,HMGR,SMT
R1,Control,17.32,27.93,33.89
R2,Control,18.58,26.8,31.4
R3,Control,16.89,31.52,34.63
R1,0.5 mM B-CD,16.33,23.76,29.7
R2,0.5 mM B-CD,16.56,24.38,33.25
R3,0.5 mM B-CD,16.45,25.76,32.63
R1,0.5m M B-CD+100 µM MeJ,15.96,24.16,23.82
R2,0.5m M B-CD+100 µM MeJ,16.68,26.73,24.82
R3,0.5m M B-CD+100 µM MeJ,15.23,23.26,24.65
R1,5 mM B-CD,14.81,25.17,29.17
R2,5 mM B-CD,12.94,22.18,25.23
R3,5 mM B-CD,13.87,24.1,30.43
R1,5 mM B-CD+100 µM MeJ,17.53,28.1,27
R2,5 mM B-CD+100 µM MeJ,17.1,26.05,24.8
R3,5 mM B-CD+100 µM MeJ,17.2,26.22,25.13
R1,100 µM MeJ,15.38,24.63,27.2
R2,100 µM MeJ,15.83,23,26.36
R3,100 µM MeJ,14.2,23.6,27.02
